sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
9004004,4.2,6.5,2.2,,,,9.25,9.75,8.5,N1
1008066,7.8,6.75,4.6,5.75,5.5,6.0,,,,N1
1108545,9.2,5.25,6.2,8.25,8.25,5.0,,,,N1
2057415,7.8,6.25,9.2,4.75,5.75,6.75,,,,N1
2045830,5.6,6.0,7.0,,,,5.5,7.75,8.25,N1
18003210,2.2,5.5,2.8,,,,5.75,4.25,6.5,N1
29019718,7.4,8.5,4.2,8.25,7.75,7.25,,,,N1
1092396,4.2,4.75,,,,,4.75,6.5,,
18012424,5.4,7.0,4.2,,,,3.75,5.5,7.0,N1
40014196,8.2,,,7.0,8.5,7.5,,,,
63005516,7.4,8.25,4.2,,,,8.25,8.5,8.5,N1
17003275,4.0,6.5,2.4,,,,4.0,6.75,5.25,N1
38003718,6.4,7.25,4.4,5.0,4.5,4.5,,,,N1
31002540,4.8,7.25,4.4,,,,6.75,8.5,9.0,N1
51004104,5.8,8.25,5.2,,,,6.5,6.75,9.0,N1
21022780,5.0,7.75,,,,,4.25,6.0,,
55006638,7.8,6.0,7.0,7.25,8.0,7.5,,,,N1
55005146,7.6,8.0,5.2,,,,6.5,7.5,8.75,N1
1017385,1.8,5.0,,,,,5.25,5.25,,
25009567,8.0,8.5,5.8,8.25,7.75,6.75,,,,N1
23004627,5.4,6.5,7.4,2.75,5.0,7.0,,,,N1
49015732,5.6,7.25,4.8,,,,5.25,7.5,8.25,N1
46003625,4.6,5.75,2.8,5.0,3.25,4.75,,,,N1
47007524,7.4,8.5,8.2,7.0,7.25,7.0,,,,N1
1090602,7.8,9.0,8.6,,,,8.25,8.75,9.25,N1
50004505,8.6,,7.2,5.5,3.5,4.5,,,,N1
51019706,6.0,7.0,,,,,6.75,7.5,,
15002309,4.4,6.75,,,,,4.25,3.75,,
30000760,6.4,7.5,2.2,,,,8.75,7.25,6.25,N1
28017217,7.8,7.25,4.2,8.25,8.0,5.0,,,,N1
59006572,5.8,9.0,4.8,,,,6.5,7.75,9.5,N1
1040795,8.4,8.75,9.2,,,,8.75,9.5,9.25,N1
64005037,3.8,6.25,3.4,,,,3.25,6.5,7.0,N1
1021513,8.2,9.0,9.8,7.25,9.75,8.0,,,,N1
35010089,6.4,8.75,,,,,6.75,7.75,,
